dataset,exp_name,seed,rollout_time,scores,returns,first_value,first_search_value,discount_return,prediction_error,step
hopper-medium-expert-v2,baseline,3,12,45.73089797282333,1468.0728352513145,261.84759521484375,311.84002685546875,268.3039687068853,0.22102646579468405,399
hopper-medium-expert-v2,baseline,3,13,112.15281992101926,3629.8223114260163,273.15283203125,312.9402160644531,273.0871921870299,0.4123167405877797,999
hopper-medium-expert-v2,baseline,3,14,20.282073615153593,639.8224457585012,276.01336669921875,314.2812805175781,229.86581319675298,0.1588416378285325,193
hopper-medium-expert-v2,baseline,3,15,23.2767597686244,737.2866719310318,262.1994934082031,310.32965087890625,236.75950148224538,0.17465555089607057,230
hopper-medium-expert-v2,baseline,3,16,40.558506421596235,1299.7336123189177,274.1603698730469,314.9952697753906,269.7759936346857,0.18326248360730393,345
hopper-medium-expert-v2,baseline,3,17,2.2476280432542652,52.878374815166744,266.81365966796875,315.8046569824219,43.58998338973292,0.1080009411185133,35
hopper-medium-expert-v2,baseline,3,18,2.2506593571534865,52.977031117808416,273.3013916015625,311.5152587890625,43.65682508186605,0.1017799253009792,35
hopper-medium-expert-v2,baseline,3,19,91.23576804149033,2949.0617339323853,262.26519775390625,310.8974304199219,267.2342303695297,0.0991424652964164,782
hopper-medium-expert-v2,baseline,3,20,2.5954864497709327,64.1996781742725,263.0572509765625,313.2712707519531,51.44493082711456,0.10091905853395698,40
hopper-medium-expert-v2,baseline,4,1,113.94596503905736,3688.181515826144,271.2033996582031,291.3141784667969,271.2637092360676,0.03073761089328694,999
hopper-medium-expert-v2,baseline,4,2,60.25973984430034,1940.9244990376492,270.47149658203125,291.31451416015625,247.10860235214162,0.015521222186064186,582
hopper-medium-expert-v2,baseline,4,3,119.44820554008213,3867.2559113269886,271.0382995605469,293.32733154296875,269.1764346648133,0.029077991091799555,997
hopper-medium-expert-v2,baseline,4,4,59.60801853294374,1919.7137577324545,270.1025085449219,296.172119140625,240.88546181502298,0.011052992279547034,580
hopper-medium-expert-v2,baseline,4,5,114.0678981440138,3692.149916890682,269.9965515136719,291.1866760253906,270.7769098005846,0.03427814147538208,962
hopper-medium-expert-v2,baseline,4,6,112.97851568589007,3656.69517711306,270.4994201660156,291.23052978515625,271.25898323103655,0.025015695301316268,999
hopper-medium-expert-v2,baseline,4,7,113.97765286396975,3689.212818999799,270.08966064453125,291.6177978515625,268.5668852737931,0.04627711525142769,999
hopper-medium-expert-v2,baseline,4,8,101.43673757710847,3281.0596632801007,270.21795654296875,292.7034606933594,270.9013840446942,0.018333951221324835,891
hopper-medium-expert-v2,baseline,4,9,113.03653849387601,3658.5835713523525,269.62030029296875,292.8401184082031,269.1390043551055,0.0387851193966011,999
hopper-medium-expert-v2,baseline,4,10,113.88343801668415,3686.146528672844,270.08001708984375,291.08514404296875,270.03646357078134,0.01680100519480031,999
hopper-medium-expert-v2,baseline,4,11,118.75953129530654,3844.8425100848544,269.439697265625,293.7573547363281,269.2128461903614,0.024516635443398,997
hopper-medium-expert-v2,baseline,4,12,112.8189421506412,3651.50174102874,270.68408203125,291.32379150390625,270.05578738974464,0.015224365526731001,999
hopper-medium-expert-v2,baseline,4,13,110.6921269533387,3582.2830026388015,271.7195739746094,291.9194030761719,268.52860193291514,0.01924441764400527,999
hopper-medium-expert-v2,baseline,4,14,119.28979962237405,3862.1004761997806,270.06854248046875,296.3375244140625,270.41865554933776,1.357702805600178,999
hopper-medium-expert-v2,baseline,4,15,112.50063930392795,3641.142344733584,270.2370910644531,291.65423583984375,271.57591073666583,0.03960025582512649,999
hopper-medium-expert-v2,baseline,4,16,106.77439092233784,3454.7774507908416,269.608642578125,290.81854248046875,243.92084972958298,0.018325215532005192,999
hopper-medium-expert-v2,baseline,4,17,109.66560094545072,3548.873971482458,270.409912109375,292.2223815917969,269.2499160331753,0.027067662626552705,999
hopper-medium-expert-v2,baseline,4,18,114.16756057831239,3695.393502875853,269.6094970703125,293.82562255859375,270.0552051757028,0.017872637651243674,999
hopper-medium-expert-v2,baseline,4,19,108.83302394321719,3521.7771509499657,270.19281005859375,292.590576171875,244.21369095075386,0.03226496383520592,999
hopper-medium-expert-v2,baseline,4,20,75.64544042619708,2441.6632491062846,270.90545654296875,293.6250915527344,269.16908511767696,0.15697771687322135,628
hopper-medium-expert-v2,baseline,5,1,113.06644024379496,3659.5567454239253,273.5367126464844,293.5171813964844,272.6602009297225,0.023631714532817375,999
hopper-medium-expert-v2,baseline,5,2,52.14491049270907,1676.8215103627485,267.064208984375,294.3003234863281,270.0719289096682,0.06892191304617774,435
hopper-medium-expert-v2,baseline,5,3,112.26392171786352,3633.4381997364667,261.84228515625,292.0382995605469,270.41565328190507,0.022884999862633704,999
hopper-medium-expert-v2,baseline,5,4,113.53676410353803,3674.863775506931,267.1834716796875,294.9106750488281,272.8715746192816,0.034593353726889146,999
hopper-medium-expert-v2,baseline,5,5,113.90217220048254,3686.756246230314,267.216552734375,294.78302001953125,271.5124167602557,0.02430651945052588,999
hopper-medium-expert-v2,baseline,5,6,112.95121218176787,3655.8065648296033,266.8694152832031,294.4356384277344,271.1904542112632,0.014887205427758244,999
hopper-medium-expert-v2,baseline,5,7,111.87353090322571,3620.7326484020005,267.39947509765625,291.32122802734375,270.7380078427474,0.019137612107541477,999
hopper-medium-expert-v2,baseline,5,8,112.08006295499975,3627.454383359987,267.075439453125,292.35089111328125,272.3277279958045,0.011871673228144315,999
hopper-medium-expert-v2,baseline,5,9,115.76226580185202,3747.2943374275624,267.0196228027344,294.2642517089844,271.8106313010668,0.023402676404837515,994
hopper-medium-expert-v2,baseline,5,10,113.2922176282208,3666.904833648402,267.71337890625,295.1147766113281,270.51246332740567,0.03568186201732924,999
hopper-medium-expert-v2,baseline,5,11,114.10434880436671,3693.336229987518,265.88641357421875,295.5250549316406,270.51378328543564,0.18129998443676124,999
hopper-medium-expert-v2,baseline,5,12,113.47467713733776,3672.8431102999616,266.98199462890625,293.3830261230469,272.44066392289045,0.017963460771807403,999
hopper-medium-expert-v2,baseline,5,13,113.18608392490495,3663.4506355340136,267.4118347167969,293.919921875,269.7267759355349,0.036367636772595004,999
hopper-medium-expert-v2,baseline,5,14,113.13433524180591,3661.7664372256704,267.03326416015625,293.98858642578125,271.6482082743753,0.030145584802024363,999
hopper-medium-expert-v2,baseline,5,15,113.26945185638311,3666.1639051431534,266.6071472167969,294.1007995605469,271.1989143349919,0.626303076429998,999
hopper-medium-expert-v2,baseline,5,16,111.94587528273956,3623.087148541882,267.2920227050781,292.7146911621094,271.5896278962141,0.024836294929561104,999
hopper-medium-expert-v2,baseline,5,17,112.89599465570741,3654.009470518934,266.6915283203125,289.935546875,272.1069092347963,0.07051353087418784,999
hopper-medium-expert-v2,baseline,5,18,112.59957402310437,3644.362246703929,267.1637878417969,290.0527038574219,270.42804214300713,0.010178176217022864,999
hopper-medium-expert-v2,baseline,5,19,111.15941885421088,3597.491355428096,267.7182922363281,296.5379638671875,270.68333033094444,0.01728725196635789,999
hopper-medium-expert-v2,baseline,5,20,113.09592800246378,3660.516445850926,266.8399353027344,292.359375,272.0217839390724,0.17270801793529225,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,1,111.361909795971,3604.081569538754,262.6209411621094,295.6755676269531,268.32193284528216,0.02710012880635421,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,2,111.74606396450508,3616.584144716368,270.8804016113281,295.90985107421875,269.0955351283803,0.0233748066962074,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,3,112.16594618962301,3630.2495153286736,269.8296813964844,293.6057434082031,270.3282150700573,0.017565719967163253,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,4,113.22376451146481,3664.676977468552,260.7773742675781,297.626220703125,269.2690014282353,0.028831968049067267,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,5,111.15108137587704,3597.220006167307,270.069091796875,296.6827392578125,268.71336073350966,0.0190736733769435,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,6,112.7273900390294,3648.52211135958,270.0448303222656,296.790771484375,270.23999129534593,0.032287734891703584,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,7,112.8545716397496,3652.661328513675,264.2494201660156,294.9776611328125,269.2998870868013,0.03062585006635111,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,8,112.23779238454716,3632.587801690871,270.7918701171875,297.1513671875,267.5027914203394,0.027989934632593676,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,9,63.199863168181615,2036.6129384695346,261.1416931152344,297.6794128417969,267.9927646775074,0.037062087567565606,528
hopper-medium-expert-v2,lfq_K512_zdim9,1,10,112.08241571573186,3627.5309556591765,270.1457214355469,294.1958312988281,268.4866573642227,0.04083278675232327,999
